Here are the results of all of the algorithms I have sumbitted so far.

Seive: 54 points
/data/course_traces/trace_0.lcs.zst seive cache size 7027, 1974971 req, miss ratio 0.7096, byte miss ratio 0.7096
/data/course_traces/trace_0.lcs.zst seive cache size 70273, 1974971 req, miss ratio 0.4665, byte miss ratio 0.4665
/data/course_traces/trace_1.lcs.zst seive cache size 1241, 3335779 req, miss ratio 0.7368, byte miss ratio 0.7368
/data/course_traces/trace_1.lcs.zst seive cache size 12414, 3335779 req, miss ratio 0.6044, byte miss ratio 0.6044
/data/course_traces/trace_2.lcs.zst seive cache size 3762, 4764142 req, miss ratio 0.7282, byte miss ratio 0.7282
/data/course_traces/trace_2.lcs.zst seive cache size 37627, 4764142 req, miss ratio 0.6921, byte miss ratio 0.6921
/data/course_traces/trace_3.lcs.zst seive cache size 728, 1151864 req, miss ratio 0.6282, byte miss ratio 0.6282
/data/course_traces/trace_3.lcs.zst seive cache size 7282, 1151864 req, miss ratio 0.5195, byte miss ratio 0.5195
/data/course_traces/trace_4.lcs.zst seive cache size 4263, 4901223 req, miss ratio 0.4467, byte miss ratio 0.4467
/data/course_traces/trace_4.lcs.zst seive cache size 42632, 4901223 req, miss ratio 0.3803, byte miss ratio 0.3803
/data/course_traces/trace_5.lcs.zst seive cache size 4915, 5318502 req, miss ratio 0.7610, byte miss ratio 0.7610
/data/course_traces/trace_5.lcs.zst seive cache size 49156, 5318502 req, miss ratio 0.2268, byte miss ratio 0.2268
/data/course_traces/trace_6.lcs.zst seive cache size 7555, 5954974 req, miss ratio 0.6355, byte miss ratio 0.6355
/data/course_traces/trace_6.lcs.zst seive cache size 75551, 5954974 req, miss ratio 0.3583, byte miss ratio 0.3583
/data/course_traces/trace_7.lcs.zst seive cache size 1646, 9388362 req, miss ratio 0.4245, byte miss ratio 0.4245
/data/course_traces/trace_7.lcs.zst seive cache size 16460, 9388362 req, miss ratio 0.0994, byte miss ratio 0.0994
/data/course_traces/trace_8.lcs.zst seive cache size 3225, 2288064 req, miss ratio 0.7599, byte miss ratio 0.7599
/data/course_traces/trace_8.lcs.zst seive cache size 32254, 2288064 req, miss ratio 0.7293, byte miss ratio 0.7293
/data/course_traces/trace_9.lcs.zst seive cache size 7164, 3354127 req, miss ratio 0.7236, byte miss ratio 0.7236
/data/course_traces/trace_9.lcs.zst seive cache size 71647, 3354127 req, miss ratio 0.3815, byte miss ratio 0.3815

Arc: 66 points
/data/course_traces/trace_0.lcs.zst arc cache size 7027, 1974971 req, miss ratio 0.6859, byte miss ratio 0.6859
/data/course_traces/trace_0.lcs.zst arc cache size 70273, 1974971 req, miss ratio 0.4650, byte miss ratio 0.4650
/data/course_traces/trace_1.lcs.zst arc cache size 1241, 3335779 req, miss ratio 0.7301, byte miss ratio 0.7301
/data/course_traces/trace_1.lcs.zst arc cache size 12414, 3335779 req, miss ratio 0.4455, byte miss ratio 0.4455
/data/course_traces/trace_2.lcs.zst arc cache size 3762, 4764142 req, miss ratio 0.7297, byte miss ratio 0.7297
/data/course_traces/trace_2.lcs.zst arc cache size 37627, 4764142 req, miss ratio 0.6901, byte miss ratio 0.6901
/data/course_traces/trace_3.lcs.zst arc cache size 728, 1151864 req, miss ratio 0.5965, byte miss ratio 0.5965
/data/course_traces/trace_3.lcs.zst arc cache size 7282, 1151864 req, miss ratio 0.4967, byte miss ratio 0.4967
/data/course_traces/trace_4.lcs.zst arc cache size 4263, 4901223 req, miss ratio 0.4167, byte miss ratio 0.4167
/data/course_traces/trace_4.lcs.zst arc cache size 42632, 4901223 req, miss ratio 0.2932, byte miss ratio 0.2932
/data/course_traces/trace_5.lcs.zst arc cache size 4915, 5318502 req, miss ratio 0.7565, byte miss ratio 0.7565
/data/course_traces/trace_5.lcs.zst arc cache size 49156, 5318502 req, miss ratio 0.2005, byte miss ratio 0.2005
/data/course_traces/trace_6.lcs.zst arc cache size 7555, 5954974 req, miss ratio 0.6350, byte miss ratio 0.6350
/data/course_traces/trace_6.lcs.zst arc cache size 75551, 5954974 req, miss ratio 0.3742, byte miss ratio 0.3742
/data/course_traces/trace_7.lcs.zst arc cache size 1646, 9388362 req, miss ratio 0.3613, byte miss ratio 0.3613
/data/course_traces/trace_7.lcs.zst arc cache size 16460, 9388362 req, miss ratio 0.0993, byte miss ratio 0.0993
/data/course_traces/trace_8.lcs.zst arc cache size 3225, 2288064 req, miss ratio 0.7514, byte miss ratio 0.7514
/data/course_traces/trace_8.lcs.zst arc cache size 32254, 2288064 req, miss ratio 0.7310, byte miss ratio 0.7310
/data/course_traces/trace_9.lcs.zst arc cache size 7164, 3354127 req, miss ratio 0.7196, byte miss ratio 0.7196
/data/course_traces/trace_9.lcs.zst arc cache size 71647, 3354127 req, miss ratio 0.3901, byte miss ratio 0.3901

s3fifo with 2% small cache and 100% ghost cache: 59 points
/data/course_traces/trace_0.lcs.zst s3 cache size 7027, 1974971 req, miss ratio 0.6833, byte miss ratio 0.6833
/data/course_traces/trace_0.lcs.zst s3 cache size 70273, 1974971 req, miss ratio 0.4542, byte miss ratio 0.4542
/data/course_traces/trace_1.lcs.zst s3 cache size 1241, 3335779 req, miss ratio 0.7415, byte miss ratio 0.7415
/data/course_traces/trace_1.lcs.zst s3 cache size 12414, 3335779 req, miss ratio 0.6055, byte miss ratio 0.6055
/data/course_traces/trace_2.lcs.zst s3 cache size 3762, 4764142 req, miss ratio 0.7509, byte miss ratio 0.7509
/data/course_traces/trace_2.lcs.zst s3 cache size 37627, 4764142 req, miss ratio 0.4563, byte miss ratio 0.4563
/data/course_traces/trace_3.lcs.zst s3 cache size 728, 1151864 req, miss ratio 0.6449, byte miss ratio 0.6449
/data/course_traces/trace_3.lcs.zst s3 cache size 7282, 1151864 req, miss ratio 0.1596, byte miss ratio 0.1596
/data/course_traces/trace_4.lcs.zst s3 cache size 4263, 4901223 req, miss ratio 0.5985, byte miss ratio 0.5985
/data/course_traces/trace_4.lcs.zst s3 cache size 42632, 4901223 req, miss ratio 0.1418, byte miss ratio 0.1418
/data/course_traces/trace_5.lcs.zst s3 cache size 4915, 5318502 req, miss ratio 0.8034, byte miss ratio 0.8034
/data/course_traces/trace_5.lcs.zst s3 cache size 49156, 5318502 req, miss ratio 0.2120, byte miss ratio 0.2120
/data/course_traces/trace_6.lcs.zst s3 cache size 7555, 5954974 req, miss ratio 0.6472, byte miss ratio 0.6472
/data/course_traces/trace_6.lcs.zst s3 cache size 75551, 5954974 req, miss ratio 0.3142, byte miss ratio 0.3142
/data/course_traces/trace_7.lcs.zst s3 cache size 1646, 9388362 req, miss ratio 0.3355, byte miss ratio 0.3355
/data/course_traces/trace_7.lcs.zst s3 cache size 16460, 9388362 req, miss ratio 0.0997, byte miss ratio 0.0997
/data/course_traces/trace_8.lcs.zst s3 cache size 3225, 2288064 req, miss ratio 0.7673, byte miss ratio 0.7673
/data/course_traces/trace_8.lcs.zst s3 cache size 32254, 2288064 req, miss ratio 0.5098, byte miss ratio 0.5098
/data/course_traces/trace_9.lcs.zst s3 cache size 7164, 3354127 req, miss ratio 0.7281, byte miss ratio 0.7281
/data/course_traces/trace_9.lcs.zst s3 cache size 71647, 3354127 req, miss ratio 0.3875, byte miss ratio 0.3875

s3fifo with 6% small cache and 100% ghost cache: 69 points
/data/course_traces/trace_0.lcs.zst s3 cache size 7027, 1974971 req, miss ratio 0.6797, byte miss ratio 0.6797
/data/course_traces/trace_0.lcs.zst s3 cache size 70273, 1974971 req, miss ratio 0.4539, byte miss ratio 0.4539
/data/course_traces/trace_1.lcs.zst s3 cache size 1241, 3335779 req, miss ratio 0.7316, byte miss ratio 0.7316
/data/course_traces/trace_1.lcs.zst s3 cache size 12414, 3335779 req, miss ratio 0.6181, byte miss ratio 0.6181
/data/course_traces/trace_2.lcs.zst s3 cache size 3762, 4764142 req, miss ratio 0.7317, byte miss ratio 0.7317
/data/course_traces/trace_2.lcs.zst s3 cache size 37627, 4764142 req, miss ratio 0.3900, byte miss ratio 0.3900
/data/course_traces/trace_3.lcs.zst s3 cache size 728, 1151864 req, miss ratio 0.6255, byte miss ratio 0.6255
/data/course_traces/trace_3.lcs.zst s3 cache size 7282, 1151864 req, miss ratio 0.1561, byte miss ratio 0.1561
/data/course_traces/trace_4.lcs.zst s3 cache size 4263, 4901223 req, miss ratio 0.4441, byte miss ratio 0.4441
/data/course_traces/trace_4.lcs.zst s3 cache size 42632, 4901223 req, miss ratio 0.1505, byte miss ratio 0.1505
/data/course_traces/trace_5.lcs.zst s3 cache size 4915, 5318502 req, miss ratio 0.7642, byte miss ratio 0.7642
/data/course_traces/trace_5.lcs.zst s3 cache size 49156, 5318502 req, miss ratio 0.2089, byte miss ratio 0.2089
/data/course_traces/trace_6.lcs.zst s3 cache size 7555, 5954974 req, miss ratio 0.6398, byte miss ratio 0.6398
/data/course_traces/trace_6.lcs.zst s3 cache size 75551, 5954974 req, miss ratio 0.3173, byte miss ratio 0.3173
/data/course_traces/trace_7.lcs.zst s3 cache size 1646, 9388362 req, miss ratio 0.2843, byte miss ratio 0.2843
